no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 1,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status
2,0,2,2,0,82,2018,10,30,0,0,0,59.85,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,109,2017,7,16,0,0,0,76.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,1,0,105,2018,4,6,0,0,0,75.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,3,0,13,2018,4,19,0,0,0,95.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,2,0,81,2018,8,5,0,0,0,131.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,0,2,5,0,14,2018,5,30,0,0,0,131.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,2,0,0,75,2018,10,30,0,0,0,105.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,2,0,56,2017,9,17,0,0,0,58.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,3,0,192,2018,10,28,0,0,0,164.63,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,2,2,2,0,62,2018,9,4,0,0,0,96.23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,0,0,1,1,0,2018,3,15,1,0,7,45.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,2,0,86,2017,9,24,0,0,0,105.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,2,0,305,2018,11,4,0,0,0,89.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,2,2,0,117,2018,5,13,0,0,0,99.45,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,190,2018,12,1,0,0,0,59.16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,2,4,10,1,120,2018,8,5,0,0,0,220.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2,0,0,2,0,245,2018,6,17,0,0,0,75.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4,0,1,1,0,141,2018,7,16,0,0,0,137.7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,2,2,0,146,2018,7,16,0,0,0,99.45,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,187,2018,10,7,0,0,0,108.9,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,2018,8,4,0,0,0,115.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,119,2018,6,7,0,0,0,110.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,20,2018,11,24,0,0,0,104.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,279,2018,10,12,0,0,0,110.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,4,0,270,2018,12,7,0,0,0,68.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,4,0,9,2018,1,18,0,0,0,54.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,4,0,8,2017,9,1,0,0,0,159.75,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,1,2,0,87,2018,2,12,0,0,0,78.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,1,96,2018,10,24,0,0,0,100.13,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,2,0,34,2018,3,18,0,0,0,162.45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,0,1,2,0,219,2017,9,4,0,0,0,76.67,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,39,2018,6,21,0,0,0,94.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,41,2018,8,31,0,0,0,123.3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,3,0,75,2018,3,17,0,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,2,0,31,2018,5,13,0,0,0,105.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,12,2018,12,21,1,0,1,79.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,3,0,7,2017,12,9,0,0,0,58.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,4,0,175,2018,8,2,0,0,0,130.05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3,0,1,1,0,87,2018,8,8,0,0,0,135.27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,2,0,192,2018,6,24,0,0,0,95.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
